sku,retail_price,item_title,inserted_at,store_code,availability
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-21 22:45:27,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-21 22:53:46,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-22 03:37:11,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-22 05:15:54,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-22 15:43:26,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-23 01:24:56,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-23 14:47:54,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-23 15:10:44,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-23 15:12:02,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-24 01:20:28,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-24 01:25:24,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-24 05:26:28,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-24 13:00:24,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-25 13:00:23,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-26 13:00:25,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-27 13:00:22,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-28 13:00:25,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-29 13:00:25,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-30 13:00:24,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-31 13:00:29,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-01-31 17:27:34,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-01 13:00:28,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-02 13:00:30,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-03 05:05:45,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-03 05:11:10,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-03 13:00:26,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-04 13:00:29,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-05 13:00:26,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-06 13:00:26,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-06 20:35:57,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-06 21:18:03,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-07 13:00:26,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-08 13:00:29,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-09 13:00:26,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-10 13:00:25,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-10 14:54:02,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-11 13:00:32,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-11 13:40:25,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-12 13:00:25,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-13 13:00:26,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-14 13:00:25,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-15 13:00:27,701,
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-15 14:26:11,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-15 14:31:22,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-15 17:24:34,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-16 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-16 18:41:08,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-17 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-18 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-19 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-20 14:00:27,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-21 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-22 14:00:25,701,0.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-23 15:04:33,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-24 14:00:27,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-25 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-26 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-27 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-28 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-02-29 14:00:27,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-01 14:00:27,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-02 14:00:26,701,0.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-03 14:00:26,701,0.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-04 14:00:27,701,0.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-05 14:00:27,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-06 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-07 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-08 14:00:28,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-09 14:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-10 13:00:27,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-11 13:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-12 13:00:26,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-13 13:00:27,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-14 13:00:28,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-15 13:00:27,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-16 13:00:27,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-17 13:00:28,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-18 13:00:28,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-21 13:10:22,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-22 17:15:45,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-23 22:45:05,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-24 01:14:30,701,1.0
22129,4.49,Milk Chocolate Peanut Butter Cups,2024-03-25 16:01:01,701,1.0
